,PrecinctYear,Precinct,Year,Taxis,Flyers,Seniors,Outreach,HandsOn,Edu_Total,PERSONS_INJURED,PERSONS_KILLED,PEDESTRIANS_INJURED,PEDESTRIANS_KILLED,CYCLIST_INJURED,CYCLIST_KILLED,MOTORIST_INJURED,MOTORIST_KILLED
200,72016,7,2016,0,0,1,2,0,3,0,0,0,0,0,0,0,0
201,1092015,109,2015,7,0,6,7,0,20,1178,9,241,6,66,0,871,3
202,752014,75,2014,0,4,3,22,1,30,1795,4,250,2,72,0,1473,2
203,1202016,120,2016,0,0,2,2,8,12,0,0,0,0,0,0,0,0
204,432015,43,2015,0,0,1,17,1,19,550,3,133,2,20,0,397,1
205,242013,24,2013,0,0,0,0,0,0,218,1,80,1,22,0,116,0
206,242014,24,2014,2,1,2,15,1,21,204,6,86,5,35,1,83,0
207,242015,24,2015,0,0,0,7,0,7,211,1,58,1,25,0,128,0
208,242016,24,2016,0,0,1,0,1,2,0,0,0,0,0,0,0,0
209,752016,75,2016,0,0,3,7,1,11,0,0,0,0,0,0,0,0
210,1102014,110,2014,0,0,3,4,1,8,682,5,168,2,64,1,450,2
211,942015,94,2015,2,0,5,3,1,11,345,1,55,0,78,0,212,1
212,842015,84,2015,5,1,1,11,3,21,427,2,93,1,53,1,281,0
213,1072013,107,2013,0,0,0,0,0,0,827,7,119,2,15,0,693,5
214,92013,9,2013,0,0,0,0,0,0,390,1,144,1,103,0,143,0
215,92014,9,2014,0,0,0,5,0,5,371,1,134,0,97,1,140,0
216,92015,9,2015,0,0,2,0,0,2,295,0,103,0,84,0,108,0
217,92016,9,2016,0,0,1,2,1,4,0,0,0,0,0,0,0,0
218,1102016,110,2016,0,0,2,6,3,11,0,0,0,0,0,0,0,0
219,1052015,105,2015,2,0,4,19,1,26,1820,5,157,2,35,0,1628,3
220,1152015,115,2015,10,0,2,4,0,16,835,4,139,4,96,0,600,0
221,702014,70,2014,2,0,5,9,1,17,934,1,251,1,86,0,597,0
222,452013,45,2013,0,0,0,0,0,0,615,4,94,1,14,0,507,3
223,702015,70,2015,5,0,1,7,0,13,882,5,259,4,102,1,521,0
224,262013,26,2013,0,0,0,0,0,0,230,1,53,1,24,0,153,0
225,262014,26,2014,1,4,0,5,1,11,202,2,50,1,38,0,114,1
226,262015,26,2015,0,0,0,6,0,6,161,1,40,1,20,0,101,0
227,262016,26,2016,0,0,0,6,1,7,0,0,0,0,0,0,0,0
228,702016,70,2016,0,0,0,4,0,4,0,0,0,0,0,0,0,0
229,1052014,105,2014,0,0,1,12,1,14,1555,10,154,3,36,2,1365,5
230,762014,76,2014,0,0,0,2,0,2,215,1,40,1,16,0,159,0
231,942016,94,2016,0,0,1,3,0,4,0,0,0,0,0,0,0,0
232,1072014,107,2014,0,0,3,11,0,14,732,6,122,3,20,0,590,3
233,1212015,121,2015,0,0,0,5,3,8,160,0,2,0,1,0,157,0
234,1022013,102,2013,0,0,0,0,0,0,788,6,139,5,63,0,586,1
235,432013,43,2013,0,0,0,0,0,0,692,3,165,3,39,0,488,0
236,432014,43,2014,0,3,3,21,3,30,574,6,139,2,44,1,391,3
237,332013,33,2013,0,0,0,0,0,0,352,1,98,1,20,0,234,0
238,432016,43,2016,0,0,1,12,1,14,0,0,0,0,0,0,0,0
239,1052016,105,2016,0,0,1,2,1,4,0,0,0,0,0,0,0,0
240,1102015,110,2015,6,0,6,13,4,29,672,1,158,1,87,0,427,0
241,332014,33,2014,2,2,0,14,3,21,255,0,78,0,27,0,150,0
242,782015,78,2015,6,0,0,4,7,17,357,0,85,0,69,0,203,0
243,332015,33,2015,4,0,1,11,9,25,267,1,67,0,25,0,175,1
244,282013,28,2013,0,0,0,0,0,0,268,1,75,1,46,0,147,0
245,282014,28,2014,1,0,3,8,0,12,233,2,68,1,47,1,118,0
246,282015,28,2015,0,0,4,4,0,8,234,0,57,0,36,0,141,0
247,282016,28,2016,0,0,0,1,0,1,0,0,0,0,0,0,0,0
248,12016,1,2016,0,0,0,2,0,2,0,0,0,0,0,0,0,0
249,1072015,107,2015,4,0,7,12,0,23,771,3,105,1,17,0,649,2
250,772014,77,2014,0,1,0,7,1,9,593,2,116,1,58,0,419,1
251,662013,66,2013,0,0,0,0,0,0,798,4,255,2,102,1,441,1
252,762015,76,2015,3,0,0,4,0,7,301,2,28,1,26,1,247,0
253,132013,13,2013,0,0,0,0,0,0,708,6,275,5,136,0,297,1
254,132014,13,2014,0,0,0,4,3,7,656,2,239,2,140,0,277,0
255,132015,13,2015,1,0,0,5,3,9,577,0,207,0,144,0,226,0
256,132016,13,2016,0,0,1,1,6,8,0,0,0,0,0,0,0,0
257,1142016,114,2016,3,0,2,3,1,9,0,0,0,0,0,0,0,0
258,602014,60,2014,0,0,4,12,1,17,418,1,116,1,39,0,263,0
259,782014,78,2014,0,0,0,12,2,14,388,2,79,2,87,0,222,0
260,602015,60,2015,0,0,1,1,3,5,353,2,87,1,28,0,238,1
261,1002013,100,2013,0,0,0,0,0,0,173,0,22,0,10,0,141,0
262,302013,30,2013,0,0,0,0,0,0,208,2,60,1,21,0,127,1
263,302014,30,2014,1,0,1,4,0,6,157,0,55,0,19,0,83,0
264,302015,30,2015,4,0,0,2,3,9,197,0,52,0,22,0,123,0
265,302016,30,2016,0,0,0,1,0,1,0,0,0,0,0,0,0,0
266,602016,60,2016,0,0,1,3,2,6,0,0,0,0,0,0,0,0
