,PrecinctYear,Precinct,Year,Taxis,Flyers,Seniors,Outreach,HandsOn,Edu_Total,Backing Unsafely,Brake Lights (Defect.or Improper),"Bus Lane, Driving in",Cell Phone,Commercial Veh on Pkwy,Defective Brakes,Disobey Steady Red Signal,Disobey Traffic Control Device,Equipment (Other),Fail to Keep Right,Fail to Signal,Following Too Closely,Headlights (Defect. or Improper),Improper Lights,Improper Passing,Improper Turn,Improper/Missing Plates,Not Giving R of W to Pedes.,Not Giving R of W to Veh.,One Way Street,Other Movers,Pavement Markings,Safety Belt,"School Bus, Passing Stopped",Speeding,Spillback,Tinted Windows,Truck Routes,U-Turn,Uninspected,Uninsured,Unlicensed Operator,Unregistered,P12,P123,Traf_Total,Neigh_Slow_Zone_Total,Speed_Bump_Total,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED
81,52013,5.0,2013,0,0,0,0,0,0,12,326,11,617,0,1,533,1869,87,10,70,4,491,0,35,1979,16,166,77,60,636,358,620,4,91,220,169,1,39,9,171,266,81,408,5493,9029,0,0,424,0,133,0,64,0,227,0
82,52014,5.0,2014,0,3,2,2,1,8,8,154,29,532,1,2,699,2162,94,4,95,11,286,0,32,1921,14,252,27,47,26,221,490,13,151,128,129,2,22,8,219,222,67,538,5393,8068,0,0,347,4,123,4,76,0,148,0
83,52015,5.0,2015,3,0,3,2,3,11,8,168,5,420,0,2,589,2110,119,5,84,4,250,0,58,1373,23,222,28,42,33,235,463,4,318,150,207,0,21,12,183,209,80,656,4813,7425,0,0,347,1,109,1,72,0,166,0
84,222013,22.0,2013,0,0,0,0,0,0,1,83,21,398,1,0,220,640,56,2,109,2,123,0,12,879,2,122,4,13,185,369,133,4,100,0,219,6,0,89,230,133,56,339,2273,4212,0,0,82,1,27,0,15,0,40,1
85,222014,22.0,2014,0,0,0,0,2,2,1,116,6,385,0,1,250,236,37,0,52,1,123,0,24,1022,1,567,1,62,26,271,83,7,258,0,190,2,4,59,150,108,32,885,2427,4075,0,0,69,0,22,0,13,0,34,0
86,222015,22.0,2015,0,0,0,0,0,0,1,70,38,220,1,1,267,186,17,1,79,6,75,0,5,1898,20,488,2,14,11,220,124,7,529,0,209,2,5,37,220,114,38,1105,3496,4905,0,0,92,0,27,0,25,0,40,0
87,732013,73.0,2013,0,0,0,0,0,0,57,663,0,2857,0,0,925,1691,32,1,648,4,600,0,112,654,187,240,111,19,1075,414,1489,22,257,61,3460,24,0,224,1409,1212,388,1278,5891,18836,0,0,834,1,181,0,47,0,606,1
88,732014,73.0,2014,0,0,0,8,0,8,41,497,0,2463,0,3,836,1856,25,2,402,7,460,1,63,672,117,282,246,18,18,359,1549,40,438,56,2352,4,0,174,969,1058,370,1408,4952,15378,0,0,759,1,157,0,30,0,572,1
89,732015,73.0,2015,0,0,1,6,2,9,29,288,0,1292,1,0,853,2105,29,0,875,4,334,2,56,816,93,273,493,1,25,7,1175,10,398,7,1815,9,2,66,1040,954,296,2049,5982,13348,0,0,695,4,113,4,42,0,540,0
90,902013,90.0,2013,0,0,0,0,0,0,20,384,0,1875,0,3,723,790,17,3,256,15,929,656,30,947,38,35,12,597,836,60,1860,6,311,12,646,53,57,38,874,646,121,620,4084,12850,0,0,842,7,187,2,168,0,487,5
